User ID,First Name,Last Name,Email,Location,Registration,Phone,Comment
447653,Maddie,Cunningham,m.cunningham@randatmail.com,[1.6223915  1.11657857],8/29/2008,607-4018-06,"I keep reading comments that Barts resigned because of death threats to her and her family. Why have I never seen even one comment in any of the many commentaries out there, that would be considered threatening? Where are the threats coming from? Threa… See"
859725,Marcus,Holmes,m.holmes@randatmail.com,[0.66887703 1.53526537],7/3/2003,203-8215-48,They should clean house and get rid of all of them.
9832296,Maria,Taylor,m.taylor@randatmail.com,[1.48611813 0.7811039 ],9/6/2017,465-2232-78,take your CRT crap and shove it!
9174831,Mary,Richards,m.richards@randatmail.com,[0.26195045 1.07869838],1/24/2005,076-9130-30,We have one of the best school systems in the country. Honestly I’m ashamed of the behavior of some of the people in this county.
6941362,Mary,Cooper,m.cooper@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,450-4951-28,Resign #fightforschools
9544440,Max,Phillips,m.phillips@randatmail.com,[1.4712066  1.04887674],9/17/2007,127-5559-06,I think Beth Barts made the right decision. I trust the Barts family will be able to enjoy life in peace & rectitude after 18 months of turmoil. I hope something can be worked out with Fight For Schools to spare the community more recall efforts. Perha… See More
7262529,Maximilian,Higgins,m.higgins@randatmail.com,[0.27822025 1.40347151],10/3/2018,813-1981-42,All that’s left is the rest of the school board. They need to
6941373,Maximilian,Edwards,m.edwards@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,063-9719-58,"The entire school board,superintenden should be arrested #fight4schools"
6941375,Michael,Johnson,m.johnson@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,255-7532-76,"Well I wonder if Terry McAuliffe still thinks that the angry parents are right wing conspiracy theorists? Virginia doesn't need another LYING, CORRUPT schoolboard #ffs"
4521276,Mike,Armstrong,m.armstrong@randatmail.com,[1.26987181 0.68332808],8/6/2007,696-6056-05,"Loudoun county school board has been in the national news too much. It is a shame that it had to get to this point. Either way, time to replace more of the board."
6941377,Mike,Cole,m.cole@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,222-1975-66,The rest of the school board and the superintendent should also resigh #fightforschools
1862306,Miranda,Barnes,m.barnes@randatmail.com,[1.85703547 0.20475712],1/16/2014,746-5910-59,They should all resign and possible charges for trying to down play the situation and having it happen to another girl
7502075,Myra,Armstrong,m.armstrong@randatmail.com,[0.62094878 0.72470865],3/4/2008,836-1028-60,"Doxxing is NEVER okay, under ANY circumstances, but to encourage others, is reprehensible. She was in a position of trust, and she violated that trust due to her personal agenda. I hope she is never allowed any position of trust in the future. She owes… See More"
2142801,Natalie,Russell,n.russell@randatmail.com,[1.93654159 0.62613959],2/10/2014,813-5880-01,Good news for the district.
6941369,Ned,Sullivan,n.sullivan@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,901-2352-30,The whole school board needs to be cleaned #fight4schools
8146650,Oliver,Cooper,o.cooper@randatmail.com,[1.45351969 0.37603226],12/5/2003,822-5860-06,About time. Who is next
4414578,Penelope,Hall,p.hall@randatmail.com,[1.49931743 1.23563607],6/19/2006,053-6761-63,I don't agree with threats to her or family if that was/is the case. The SB needs to realize and admit allowing mixed gender...regardless of how u identify would or could possibly lend to this type of incidents happening. Perhaps a gender fluid/neutral toiletry facility would be a much better answer to these issues.SB members are supposed to keep tje children's welfare and education forefront....politics don't belong in that realm. Just my opinion....respect that as I do
358490,Preston,Brooks,p.brooks@randatmail.com,[0.12915667 0.2137187 ],8/4/2008,255-6777-32,Not sure why this was a tough decision for anyone. She is clearly
6941366,Preston,West,p.west@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,837-0199-91,Easy? You should be in jail #fight4schools
5356688,Roland,Taylor,r.taylor@randatmail.com,[0.61839295 0.49097257],7/3/2000,536-7638-06,"What is America becoming? I don’t live there, so I don’t have the particulars of people’s problems with this woman and others on the board. But my questions are: Are these not elected positions? When did America become a country of mob rule where peop… See More"
6941361,Rubie,Martin,r.martin@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,783-7105-67,They all need to #FightForSchools
9174652,Sabrina,Holmes,s.holmes@randatmail.com,[0.03169598 0.00811334],4/16/2009,666-4725-21,Great news. Who’s next? Lcps needs a big reset.
5101659,Samantha,Cooper,s.cooper@randatmail.com,[1.41727328 0.73271124],6/24/2015,895-5519-80,Now the superintendent needs to go!!
3250770,Savana,Chapman,s.chapman@randatmail.com,[0.10048625 1.58743884],4/19/2017,910-6473-93,"Ah yes, now that the cat is out of the bag it is now “the right decision for me and my family.”"
6941372,Sofia,Andrews,s.andrews@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,780-0489-27,"Nice start, keep ‘em comin #fight"
707538,Sophia,Phillips,s.phillips@randatmail.com,[0.54054205 0.41590655],3/9/2016,976-1500-02,"Best news I've heard , so glad concerned parents are being heard! #fightforschools"
6941380,Spike,Hill,s.hill@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,398-5985-43,Good. #ffs
6108791,Stella,Crawford,s.crawford@randatmail.com,[0.23415461 0.24421942],10/23/2003,618-8937-47,Proud of parents ❤ for standing up to the rotten school board.You are Heros for every parent in Vurginia!Thanks for fighting for your children .Hope rest of Virginia takes your lead!
2657562,Stuart,Alexander,s.alexander@randatmail.com,"[38.83989293326533, -77.31111744655817]",5/22/2018,596-2705-60,Superintendent needs to follow her lead.
6941371,Stuart,Riley,s.riley@randatmail.com,"[38.83989293326533, -77.31111744655817]",10/15/2021,102-5985-78,"The rest of the school board and the superintendent need to go, they are also corrup #FFS"
9233886,Tess,Farrell,t.farrell@randatmail.com,[1.97854895 0.05954142],4/21/2008,120-5767-51,They all should go and be charged for covering up for a sexual predator.
470990,Thomas,Murray,t.murray@randatmail.com,[0.31317786 1.79351263],5/12/2015,011-0888-66,"AMEN! All Beth Barts ever wanted was to be on the school board,” King said in an email to the Times-Mirror. “I trust those who taunted her mercilessly over the past months are satisfied. If Ms. Barts had chosen to fight the removal petition, she would have"
1897512,Vincent,Wilson,v.wilson@randatmail.com,[1.79815067 0.0977599 ],7/20/2005,997-4179-08,Just be gone and encourage your other board members to follow you
6828095,Vincent,Perkins,v.perkins@randatmail.com,[1.68382595 0.75922752],3/22/2010,924-0088-98,"I’m glad, we need better people that actually care about our kids in the board"
7258838,Vincent,Gray,v.gray@randatmail.com,[0.36263906 0.35059024],8/7/2012,985-3736-07,Now it's Scott Ziegler's and Tim Flynn's turn.
9377386,Vivian,Montgomery,v.montgomery@randatmail.com,[0.47516539 1.69786227],5/11/2006,647-1935-39,The best things she did and hope all the board do the same and most of all the liar superintendent have to go first . GOD BLESS AMERICA AND THE PARENTS
1186033,William,Spencer,w.spencer@randatmail.com,[1.83867549 0.22375249],4/10/2017,402-4246-20,"Run Barts, Run! And when you get to the county line - keep going. When you get to the state border - keep going. Keep going until you get to the"
